timestamp,id,dist_lat,dist_long,vel_rel_lat,vel_rel_long,rcs
1749980923.6584878,1,1.200000000000017,2.2000000000000455,0.5,1.25,-15.0
1749980923.6586626,1,1.200000000000017,2.400000000000034,-62.25,0.5,-15.0
1749980923.6587677,1,1.0000000000000284,2.2000000000000455,-63.0,-0.75,-15.0
1749980923.6588438,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6589386,1,1.0000000000000284,2.400000000000034,-62.75,-5.75,-15.0
1749980923.659007,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6590722,1,1.200000000000017,2.400000000000034,-62.75,-5.5,-15.0
1749980923.659146,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6592102,1,1.0000000000000284,2.400000000000034,-62.75,-3.0,-15.0
1749980923.65928,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6593423,1,1.0000000000000284,2.6000000000000227,-62.25,-4.25,-15.0
1749980923.6594083,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6594737,1,0.8000000000000114,2.6000000000000227,-63.25,-3.0,-15.0
1749980923.659539,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6596022,1,0.8000000000000114,2.8000000000000114,-63.75,-2.25,-15.0
1749980923.6596677,2,1.6000000000000227,3.0,129.75,269.75,-15.0
1749980923.6597347,1,0.6000000000000227,2.8000000000000114,-62.5,-2.25,-15.0
1749980923.6597998,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6598616,1,0.6000000000000227,2.6000000000000227,-63.5,-3.5,-15.0
1749980923.6599262,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.659987,1,0.4000000000000057,2.6000000000000227,-63.75,-4.0,-15.0
1749980923.6600575,2,1.6000000000000227,3.0,0.0,0.0,-15.0
1749980923.6601226,1,0.6000000000000227,2.8000000000000114,-63.0,-2.25,-15.0
1749980923.6601858,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6602492,1,0.6000000000000227,3.0,-63.25,-1.5,-15.0
1749980923.6603148,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.66038,1,0.6000000000000227,3.0,-63.25,-1.25,-15.0
1749980923.6604428,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.660505,1,0.4000000000000057,2.8000000000000114,-64.0,-3.75,-15.0
1749980923.6605685,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6606336,1,0.6000000000000227,3.0,-63.5,-2.0,-15.0
1749980923.6607015,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6607628,1,0.6000000000000227,2.8000000000000114,-62.75,-2.75,-15.0
1749980923.6608255,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6608875,1,0.6000000000000227,3.0,-62.25,-1.75,-15.0
1749980923.6609533,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6610162,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6610796,1,0.6000000000000227,3.0,-64.0,-128.0,-15.0
1749980923.6611428,1,0.6000000000000227,3.0,-62.5,1.25,-15.0
1749980923.661206,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.6612716,1,0.6000000000000227,3.2000000000000455,-63.0,0.0,-15.0
1749980923.6613367,2,1.6000000000000227,3.400000000000034,0.0,0.0,-15.0
1749980923.6613991,1,0.6000000000000227,3.2000000000000455,-63.25,-2.5,-15.0
1749980923.6614642,2,1.4000000000000057,3.2000000000000455,0.0,0.0,-15.0
1749980923.6615274,1,0.6000000000000227,3.0,-62.5,-1.25,-15.0
1749980923.6615934,2,1.4000000000000057,3.0,0.0,0.0,-15.0
1749980923.6616545,1,0.6000000000000227,3.2000000000000455,-63.75,0.75,-15.0
1749980923.6617186,2,1.6000000000000227,3.2000000000000455,0.0,0.0,-15.0
1749980923.661778,1,0.6000000000000227,3.0,-62.25,-1.25,-15.0
1749980923.6618433,2,1.4000000000000057,2.8000000000000114,0.0,0.0,-15.0
1749980923.6619012,1,0.6000000000000227,3.2000000000000455,-63.0,2.5,-15.0
1749980923.6619585,2,1.4000000000000057,2.8000000000000114,0.0,0.0,-15.0
1749980923.6620142,1,0.6000000000000227,3.0,-63.0,2.0,-15.0
1749980923.66207,2,1.200000000000017,2.400000000000034,129.75,-128.0,-15.0
1749980923.662128,2,1.0000000000000284,2.2000000000000455,-64.0,-2.75,-15.0
1749980923.6621833,1,0.6000000000000227,3.0,-64.0,870.0,-15.0
1749980923.6622362,1,0.4000000000000057,2.8000000000000114,-62.5,-1.5,-15.0
1749980923.6622896,2,1.200000000000017,2.8000000000000114,0.0,0.0,-15.0
1749980923.6623414,1,0.4000000000000057,2.8000000000000114,-62.25,0.25,-15.0
1749980923.6623971,2,1.0000000000000284,2.6000000000000227,0.0,0.0,-15.0
1749980923.6624498,1,2.842170943040401e-14,1.2000000000000455,0.0,0.0,-15.0
1749980923.6626847,2,1.0000000000000284,2.0,0.0,0.0,-15.0
1749980923.6627688,1,1.0000000000000284,1.2000000000000455,0.25,-8.25,-15.0
1749980923.6628351,1,1.0000000000000284,1.0,-62.25,-0.5,-15.0
1749980923.662902,1,1.0000000000000284,1.2000000000000455,-62.75,0.25,-15.0
1749980923.6629605,1,1.0000000000000284,2.0,0.0,7.0,-15.0
1749980923.6630113,1,1.0000000000000284,2.0,-62.25,-0.5,-15.0
